dataset,error_model,rate,analysis,metric,mean,std,n
BANC,merge_errors,0.5,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,merge_errors,0.5,connected_components,metric_wcc_max_size,153658.0,0.0,5
BANC,merge_errors,0.5,connected_components,metric_scc_count,18342.2,1.16619037896906,5
BANC,merge_errors,0.5,connected_components,metric_scc_max_size,139114.0,1.4142135623730951,5
BANC,merge_errors,0.5,reciprocity,metric_reciprocity,0.13008676980238104,3.483890352449952e-05,5
BANC,merge_errors,1.0,basic_structure,metric_node_count,157674.0,0.0,5
BANC,merge_errors,1.0,basic_structure,metric_edge_count,3972162.2,1778.1647167796352,5
BANC,merge_errors,1.0,basic_structure,metric_total_synapses,23554939.8,446.81692000191754,5
BANC,merge_errors,1.0,basic_structure,metric_weight_mean,5.930005698247625,0.002634392961783576,5
BANC,merge_errors,1.0,basic_structure,metric_weight_variance,90.6993551688059,0.13365163952296988,5
BANC,merge_errors,1.0,basic_structure,metric_weight_std,9.52361832166473,0.007016555975816092,5
BANC,merge_errors,1.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,merge_errors,1.0,basic_structure,metric_density,0.00015977526923826002,7.152445749758437e-08,5
BANC,merge_errors,1.0,degree_distribution,metric_total_degree_mean,50.384492053223745,0.02255495156816681,5
BANC,merge_errors,1.0,degree_distribution,metric_in_degree_mean,25.192246026611873,0.011277475784084362,5
BANC,merge_errors,1.0,degree_distribution,metric_out_degree_mean,25.192246026611873,0.011277475784084362,5
BANC,merge_errors,1.0,degree_distribution,metric_total_degree_std,111.41592606971747,0.06607708071635288,5
BANC,merge_errors,1.0,degree_distribution,metric_in_degree_max,4675.6,11.253443917308159,5
BANC,merge_errors,1.0,degree_distribution,metric_out_degree_max,4749.4,12.626955294131678,5
BANC,merge_errors,1.0,assortativity,metric_degree_assortativity,-0.046146326524109126,0.00012005868002120133,5
BANC,merge_errors,1.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,merge_errors,1.0,connected_components,metric_wcc_max_size,153364.0,0.0,5
BANC,merge_errors,1.0,connected_components,metric_scc_count,18338.6,1.4966629547095764,5
BANC,merge_errors,1.0,connected_components,metric_scc_max_size,138824.0,1.8973665961010275,5
BANC,merge_errors,1.0,reciprocity,metric_reciprocity,0.13020819646956752,8.890570541855361e-05,5
BANC,merge_errors,2.0,basic_structure,metric_node_count,157086.0,0.0,5
BANC,merge_errors,2.0,basic_structure,metric_edge_count,3954669.6,2654.093035294731,5
BANC,merge_errors,2.0,basic_structure,metric_total_synapses,23554107.4,394.78632195150834,5
BANC,merge_errors,2.0,basic_structure,metric_weight_mean,5.956026775878354,0.004005349386544671,5
BANC,merge_errors,2.0,basic_structure,metric_weight_variance,91.85265362293967,0.07505008744382559,5
BANC,merge_errors,2.0,basic_structure,metric_weight_std,9.583978208296598,0.003914822551004925,5
BANC,merge_errors,2.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,merge_errors,2.0,basic_structure,metric_density,0.00016026474910724,1.0755830383716805e-07,5
BANC,merge_errors,2.0,degree_distribution,metric_total_degree_mean,50.35037622703487,0.0337915923162449,5
BANC,merge_errors,2.0,degree_distribution,metric_in_degree_mean,25.175188113517436,0.016895796158122253,5
BANC,merge_errors,2.0,degree_distribution,metric_out_degree_mean,25.175188113517436,0.016895796158122253,5
BANC,merge_errors,2.0,degree_distribution,metric_total_degree_std,111.13868759067084,0.09924600623376018,5
BANC,merge_errors,2.0,degree_distribution,metric_in_degree_max,4651.2,14.496896219536099,5
BANC,merge_errors,2.0,degree_distribution,metric_out_degree_max,4721.2,10.533755265810953,5
BANC,merge_errors,2.0,assortativity,metric_degree_assortativity,-0.04589301797952482,0.00015195909130594768,5
BANC,merge_errors,2.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,merge_errors,2.0,connected_components,metric_wcc_max_size,152776.0,0.0,5
BANC,merge_errors,2.0,connected_components,metric_scc_count,18331.2,2.2271057451320084,5
BANC,merge_errors,2.0,connected_components,metric_scc_max_size,138243.8,2.9257477676655586,5
BANC,merge_errors,2.0,reciprocity,metric_reciprocity,0.13049689468483003,9.703546377908222e-05,5
BANC,merge_errors,3.0,basic_structure,metric_node_count,156498.0,0.0,5
BANC,merge_errors,3.0,basic_structure,metric_edge_count,3935522.8,3702.11125710722,5
BANC,merge_errors,3.0,basic_structure,metric_total_synapses,23552105.2,622.2360966707091,5
BANC,merge_errors,3.0,basic_structure,metric_weight_mean,5.984497357882816,0.005565741982106835,5
BANC,merge_errors,3.0,basic_structure,metric_weight_variance,93.83820390346668,0.3315623085541723,5
BANC,merge_errors,3.0,basic_structure,metric_weight_std,9.686997020185926,0.01710655943354929,5
BANC,merge_errors,3.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,merge_errors,3.0,basic_structure,metric_density,0.00016068954622807999,1.51159225370643e-07,5
BANC,merge_errors,3.0,degree_distribution,metric_total_degree_mean,50.29486383212564,0.04731193059473393,5
BANC,merge_errors,3.0,degree_distribution,metric_in_degree_mean,25.14743191606282,0.023655965297367482,5
BANC,merge_errors,3.0,degree_distribution,metric_out_degree_mean,25.14743191606282,0.023655965297367482,5
BANC,merge_errors,3.0,degree_distribution,metric_total_degree_std,110.80119985258636,0.10491025635184063,5
BANC,merge_errors,3.0,degree_distribution,metric_in_degree_max,4615.6,27.48526878165829,5
BANC,merge_errors,3.0,degree_distribution,metric_out_degree_max,4685.0,26.578186544608343,5
BANC,merge_errors,3.0,assortativity,metric_degree_assortativity,-0.04560239595484921,0.00020039111781464992,5
BANC,merge_errors,3.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,merge_errors,3.0,connected_components,metric_wcc_max_size,152188.0,0.0,5
BANC,merge_errors,3.0,connected_components,metric_scc_count,18323.8,3.1874754901018454,5
BANC,merge_errors,3.0,connected_components,metric_scc_max_size,137663.4,4.079215610874228,5
BANC,merge_errors,3.0,reciprocity,metric_reciprocity,0.13043867937230144,8.098427756090081e-05,5
BANC,merge_errors,5.0,basic_structure,metric_node_count,155322.0,0.0,5
BANC,merge_errors,5.0,basic_structure,metric_edge_count,3891822.8,4328.008197774122,5
BANC,merge_errors,5.0,basic_structure,metric_total_synapses,23548416.8,680.2712400212139,5
BANC,merge_errors,5.0,basic_structure,metric_weight_mean,6.0507497868082165,0.006743669707690077,5
BANC,merge_errors,5.0,basic_structure,metric_weight_variance,98.73981523100159,0.36604431939716087,5
